Commune;Indicateur_Opp1;Indicateur_Opp2;Indicateur_Opp3;Indicateur_Opp4;Indicateur_Cho1;Indicateur_Cho2;Indicateur_Vec1;Indicateur_Vec2;Indicateur_Vec3;Indicateur_Vec4;Indice_OppChoVec
Afa;5,75;0,20522792;48,2;98;1;28,99;27250;47,69790064;4,632;3;0,575805313
Ajaccio;5,76;0,278668171;43,55;93,5;0,135335283;36,53;23320;47,69831228;4,579;110;0,69374075
Alata;5,77;0,213225914;48,75;88;1;28,25;27810;47,69370453;4,641;4;0,574119496
Albitreccia;5,78;0,325884791;48,55;59;1;58,8;26850;47,70221195;4,461;6;0,631314702
Altagène;5,79;0,474895798;44,45;50;1;58,67;23420;47,71669509;4,556;0;0,561896413
Ambiegna;5,8;0,333661749;45,15;28,5;1;69,23;23420;47,6922637;4,614;0;0,546432396
Appietto;5,81;0,228841579;48,7;84;1;30,07;26500;47,69850906;4,687;0;0,56575676
Arbellara;5,82;0,21490695;47,2;45;1;48,28;22340;47,70770672;4,024;1;0,425598103
Arbori;5,83;0,45692956;38,9;36,5;1;61,46;23420;47,73888769;4,282;0;0,469615657
Argiusta-Moriccio;5,84;0,416282425;40,7;85;1;68,42;23420;47,72124403;4,297;1;0,601497545
Arro;5,85;0,297816698;45,1;49;1;72,41;23420;47,7060762;4,541;0;0,593210592
Aullène;5,86;0,283378962;43,9;49,5;1;70,32;20160;47,70981736;4,047;1;0,482879027
Azilone-Ampaza;5,87;0,200761659;48,1;69,5;1;90;18910;47,70269926;4,494;0;0,665590853
Azzana;5,88;0,359955161;50;49;1;59,72;23420;47,74211354;4,579;1;0,628251958
Balogna;5,89;0,379663436;40;50;1;66,5;16870;47,72770295;4,255;0;0,448427177
Bastelica;5,9;0,23154596;43,5;55,5;1;66,55;22770;47,71618914;4,496;2;0,557299771
Bastelicaccia;5,91;0,22277411;48,55;84;1;30,03;27450;47,70028345;4,565;8;0,605568383
Belvédère-Campomoro;5,92;0,238564424;47,45;41;1;81,89;23910;47,70719495;4,455;1;0,642382853
Bilia;5,93;0,319426799;48,6;50;1;77,78;23420;47,7100763;3,775;0;0,587820318
Bocognano;5,94;0,262672733;41,85;52;1;61,68;23650;47,71300756;4,587;4;0,557321759
Bonifacio;5,95;0,228497787;45,6;52;1;48,88;22670;47,70178739;4,278;15;0,52293767
Calcatoggio;5,96;0,265940962;48,05;43,5;1;59,38;23120;47,70591475;4,612;4;0,596930735
Campo;5,97;0,347720897;46,5;50;1;62,12;20230;47,72214761;4,271;1;0,543468826
Cannelle;5,98;0,356873536;47,05;49,5;1;53,95;23420;47,70934056;4,58;0;0,58955452
Carbini;5,99;0,412989576;48,2;74,5;1;81,1;23420;47,71256296;4,443;0;0,775708527
Carbuccia;5,1;0,269649298;43,75;51,5;1;81,68;22170;47,70792106;4,468;1;0,45645095
Cardo-Torgia;5,101;0,470242763;50;53;1;63,27;23420;47,71177843;5;0;0,552639185
Cargèse;5,102;0,24353422;44,45;25,5;1;37,31;21490;47,711122;4,529;6;0,29604014
Cargiaca;5,103;0,486587366;50;49,5;1;73,13;23420;47,71915853;4,181;0;0,486421464
Casaglione;5,104;0,300741929;47;49,5;1;51,15;22580;47,71601414;4,712;1;0,408158783
Casalabriva;5,105;0,258881406;44,05;55,5;1;49,71;23480;47,71419457;4,524;1;0,371631844
Cauro;5,106;0,265283519;47,9;88;1;47,65;26380;47,70033553;4,494;3;0,470867303
Ciamannacce;5,107;0,337265471;47;81;1;75,27;23420;47,71796788;4,433;1;0,52666982
