Départements;Communes;NOM_ENTREPRISE;ADR1_ENTREPRISE;CP_ENTREPRISE;VILLE_ENTREPRISE;Total
CORSE DU SUD;AJACCIO;AIR CORSICA;AEROPORT NAPOLEON BONAPARTE;20186;AJACCIO CEDEX 2;1
CORSE DU SUD;AJACCIO;CAISSE RÉGIONALE CRÉDIT AGRICOLE MUTUE;1 Av Napoléon III;20000;AJACCIO;1
CORSE DU SUD;AJACCIO;DIRECTION REGIONALE EDF ENGIE CORSE;2 Av Imperatrice Eugenie;20000;AJACCIO;1
CORSE DU SUD;AJACCIO;DUOAPPS;12 Rue General Fiorella;20000;AJACCIO;1
CORSE DU SUD;AJACCIO;GOOD BARBER;12 rue Général Fiorella;20000;AJACCIO;1
CORSE DU SUD;AJACCIO;ICARE TECHNOLOGIES;4 avenue Mont Thabor;20090;AJACCIO;1
CORSE DU SUD;AJACCIO;IT CONSULTING;27 Rue du Doc Dell Pellegrino;20090;AJACCIO;1
CORSE DU SUD;AJACCIO;LUCENA DAVID;14 Rue Conventionnel Chiappe;20000;AJACCIO;1
CORSE DU SUD;AJACCIO;MIDGARD;2 Boulevard Charles Bonaparte;20090;AJACCIO;1
CORSE DU SUD;AJACCIO;OCTAEDRA;Pont du Ricanto;20090;AJACCIO;1
CORSE DU SUD;AJACCIO;OLLANDINI ACHAT ET LOCATION;1 Rue Paul Colonna d'Istria;20176;AJACCIO;1
CORSE DU SUD;AJACCIO;OLLANDINI VOYAGES;1 RUE PAUL COLONNA D ISTRIA;20181;AJACCIO CEDEX 1;1
CORSE DU SUD;AJACCIO;ORANGE DR CORSE;Mezzavia - Chemin de Ranochietto;20000;AJACCIO;1
CORSE DU SUD;AJACCIO;SAGES INFORMATIQUE;17 Domaine de suartello;20090;AJACCIO;1
CORSE DU SUD;AJACCIO;SITEC;ZI DU VAZZIO;20090;AJACCIO;1
CORSE DU SUD;AJACCIO;SYNDICAT D'ENERGIE DE LA CORSE DU SUD;ROUTE D'ALATA;20700;AJACCIO;1
CORSE DU SUD;SARROLA CARCOPINO;BEESIDE;Lieu dit Favagiolo;20167;SARROLA CARCOPINO;1
CORSE DU SUD;SARROLA CARCOPINO;SALLEI CONSULTING;Lieu dit Favaglioli;20167;SARROLA CARCOPINO;1
HAUTE CORSE;BASTIA;CORSICAWEB;Port de plaisance de Toga;20200;BASTIA;1
HAUTE CORSE;BASTIA;EKIP MEDITERRANEE INFORMATIQUE;10 BIS AV EMILE SARI;20200;BASTIA;1
HAUTE CORSE;BASTIA;HOSPITALINK;14 RUE DU MARECHAL JUIN;20137;BASTIA;1
HAUTE CORSE;BASTIA;IGESA;CASERNE SAINT JOSEPH BP 190;20293;BASTIA;1
HAUTE CORSE;BASTIA;MAIRIE DE BASTIA;Av Pierre Giudicelli;20200;BASTIA;1
HAUTE CORSE;BASTIA;NEBBIU;4 Boulevard Paoli;20200;BASTIA;1
HAUTE CORSE;BASTIA;NEXUS SMART;6 Rue Luce de Casabianca;20200;BASTIA;1
HAUTE CORSE;BASTIA;ODARC;MONTESORO AVENUE PAUL GIACOBBI;20601;BASTIA;1
HAUTE CORSE;BASTIA;OFFICE D EQUIPEMENT HYDRAULIQUE CORSE;Av Paul Giacobbi;20600;BASTIA;1
HAUTE CORSE;BASTIA;ORANGE;ORANGE Unité Clients Industrielle Cors;20200;BASTIA;1
HAUTE CORSE;BASTIA;SPIE COMMUNICATIONS;AV DE LA LIBERATION;20200;BASTIA;1
HAUTE CORSE;BASTIA;TEELT;2 COURS HENRI PIERANGELI;20200;BASTIA;1
HAUTE CORSE;CORTE;AROBASE;Route de Castirla;20250;CORTE;1
HAUTE CORSE;CORTE;KELI NETWORK  FRANCE;1 Rue Saint Joseph;20250;CORTE;1
HAUTE CORSE;CORTE;NEUROMEDIASOFT;Route de saint Pancrace;20250;CORTE;1
HAUTE CORSE;CORTE;QUALITAIR CORSE;LIEU DIT LERGIE;20250;CORTE;1
HAUTE CORSE;CORTE;UNIVERSITE DE CORSE PASCAL PAOLI;AV 9 SEPTEMBRE;20250;CORTE;1
HAUTE CORSE;FURIANI;SIS 2B;Lieu dit Casetta;20600;FURIANI;1
HAUTE CORSE;FURIANI;SITEC;Parc Technologique d4erbajolo;20601;FURIANI;1
HAUTE CORSE;FURIANI;SOGIC;AVENUE SAMPIERO CORSE;20600;BASTIA;1
HAUTE CORSE;BIGUGLIA;AGILITEST;RT11, Bât. C1489, Lieu-dit CEPPE;20620;BIGUGLIA;1
HAUTE CORSE;BORGO;3A SOLUTIONS;Résidence Monte Stello;20290;BORGO;1
HAUTE CORSE;PRUNELLI DI FIUMORBO;CLC DISPLAY;Querciolo;20243;PRUNELLI DI FIUMORBO;1
HAUTE CORSE;MONTICELLO;SISTERS;LOT CASTELLACCIO;20220;MONTICELLO;1
ALPES MARITIMES;BIOT;HUCLINK;1560 Route des Lucioles;6410;BIOT;1
RHONE;LYON 05;WELCO;14 RUE DE LA QUARANTAINE;69005;LYON 05;1
RHONE;TALUYERS;AUGMENTICOM;501 RUE DE LA RONZE;69440;TALUYERS;1
FINISTERE;GUIPAVAS;CREDIT MUTUEL ARKEA;Rue Albert Camus;29490;GUIPAVAS;1
BOUCHES DU RHONE;MARSEILLE 14;DOINSPORT;24 Rue Charles Tellier;13014;MARSEILLE 14;1
PARIS;PARIS 13;SITEFLOW SOLUTION;46 rue Albert;75013;PARIS 13;1
