Siret;Raison_sociale;Enseigne;Dirigeant_principal;Forme_juridique;Libelle_inscription;Code_APE;Libelle_code_APE;Libelle_categorie;Effectif_etablissement;Voie;Code_postal;Libelle_commune;Libelle_departement;Libelle_zone_appartenance_commune;Telephone;Email;Nombre_etablissements
409.216.512.00031;CD MEDIA;;Mme Corinne BELLANGER;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;2;LIEU DIT BOCCA AL FORNU;20167;AFA;CORSE DU SUD;CA - PAYS AJACCIEN;06 14 56 01 44;corinne@cd-media.fr;1
988.332.847.00017;SYNVOLV;SYNVOLV;Mr Eric FASOLO;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;OGLIASTRONE;20167;AFA;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
904.452.836.00011;ALPA TECHNOLOGIES;;Mr Marc-Antoine LUNESCHI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;LIEU DIT MICHEL ANGE;20167;AFA;CORSE DU SUD;CA - PAYS AJACCIEN;06 10 59 80 71;marcantoine@alpatechnologies.cloud;1
922.045.752.00016;IMMIRIS;;Mr Yoann ALFONSI;5785;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;CASA MARTINO;20167;AFA;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
939.675.245.00012;TESSALY;DARIA IMMOBILIER;Mme Lucie SANTINI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;BUTRONE;20167;AFA;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
430.044.040.00052;SAGES INFORMATIQUE (SAUVEGARDE-ADMINIS;SACSO;Mr Charly DELSOL;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;25;ROUTE DE MEZZAVIA;20167;AFA;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 10 93 61;contact@sages-informatique.com;1
424.269.546.00034;AROBASE;;Mr Adrien MORLAAS-LUBRE;5499;RCS;6209Z;AUTRES ACTIVITÉS INFORMATIQUES;SERVICE;0;RUE 1E BAT CHOC RES CASTELVECCHIO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 76 03 31;contact@arobase2a.com;1
494.129.455.00015;CONCEPT OBJET;;Mr Franck BORGOMANO;5499;RCS;6209Z;AUTRES ACTIVITÉS INFORMATIQUES;SERVICE;0;12 AVENUE ANTOINE SERAFINI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;FBORGOMANO@GMAIL.COM;1
909.405.839.00012;MR SAURA FABON JULIEN;;Mr Julien SAURA FABON;1000;RCS;6209Z;AUTRES ACTIVITÉS INFORMATIQUES;SERVICE;0;CHEMIN DE BIANCARELLO;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 83 24 04 65;cybertechajaccio@gmail.com;1
391.944.774.00044;OCTAEDRA;;Mr Ange Dominique TORTI;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;5;PONTDU RICANTO;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;commercial@octaedra.com;1
395.194.319.00053;2A 2B MEDIATIC;;Mr Bertrand DIPERI;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;RESIDENCE LES HAUTS D'AJACCIO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 20 69 90;mediatic2a2b@yahoo.fr;1
399.273.945.00051;ELEOTYS;;Mr Jean Claude REHM;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;13 AVENUE DE LA GRANDE ARMEE;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;JC.REHM@GMAIL.COM;1
429.333.560.00036;P.I.C. INFORMATIQUE;;Mr Olivier FOSSE;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;6;AVENUE DU MONT THABOR;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 10 56 03;info@picinformatique.com;1
439.667.486.00047;ABSOLUTE GROUP;;Mr Jerome SOURIAU;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;75 COURS NAPOLEON;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
452.835.028.00021;REDI RESEAUX ENTR DEVEL INFORMATIQUES;;Mr Jean POGGI;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;54 AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
501.522.551.00016;KALLISTE INFORMATIQUE;;Mr Jean SPITERI;5499;RCS/RM;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;CHEMIN DE BIANCARELLO;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 51 37 33;;1
517.933.420.00047;WEBAXIS;;Mr Sebastien ANTONIOTTI;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;7 CHEMIN DE RANUCHIETTO;20167;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 71 12 43;;1
809.655.624.00025;IT-CONSULTING;IT-CONSULTING;Mr Sylvain LAREDO;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;3;27 RUE DOC DELL PELLEGRINO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 52 13 14;toussaint@itconsulting-solutions.com;1
809.841.885.00035;DIGITAL BUSINESS SOLUTIONS;;Mr Michel RAFFALLI;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;ROUTE D ALATA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
811.428.028.00013;NBA INFORMATIQUE;;Mr Nicolas BAROU;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;3;BERTHAULT;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 09 53 57 95;;1
838.262.178.00018;MOBIUS INFORMATIQUE;;Mr Barthélémy GABILLAUD;5710;RCS/RM;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;1 RUE JEROME PERI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 78 36 13;;1
880.956.537.00018;LPI;;Mr Yves ALBEROLA;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 23 04 28 08;alberola.yves@orange.fr;1
902.274.927.00018;MR MORADAR JAAFAR;;Mr Jaafar MORADAR;1000;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;242 RUE DU LAC DE CINTO;20167;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;07 52 67 58 49;moradarjaafar@outlook.com;1
