NomStructure ; TypeStructure ; AdresseStructure ; CodePostalStructure ; VilleStructure ; PaysStructure ; NomService ; SujetStage ; DateDebutStage ; DateFinStage ; OrigineStage ; CodePostalEtudiant ; VilleEtudiant ; LibelleEtape ; FonctionsEtTaches ; Details ; Annee 
 Editions Corses ; Entreprise privée ; route de l aeroport ; 20290 ; Lucciana ; France ; Editions Corses ; stage de 4 semaines dans une entreprise d'informatique ;13/04/2015;08/05/2015; réseau de connaissance ; 20600 ; Bastia ; LICENCE-3-INFORMATIQUE ; développement web  ; stage de découverte dans le développement web ; 2014/2015 
 AROBASE ; Entreprise privée ; 1 Avenue de la République ; 20250 ; CORTE ; FRANCE ; AROBASE ; Développement informatique en milieu professionnel. ;13/04/2015;08/05/2015; réseau de connaissance ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Développement web, gestion de base de donnée et développement mobile. ; Création d'un script PHP pour un client. ; 2014/2015 
 Université Pasquale Paoli UMS STELLA MARE  ; Non connu ; Plateforme STELLA MARE - UMS CNRS 3514  ; 20620 ; Biguglia ; France ; Laboratoire de l’UMS CNRS 3514 Stella Mare ; Stage dans une entreprise informatique ;13/04/2015;08/05/2015;  ; 20600 ; Bastia ; LICENCE-3-INFORMATIQUE ; Diverses tâches au sein du projet ; Système embarqué (mer/terre) qui permet de récupérer des informations ; 2014/2015 
 Université Pasquale Paoli UMS STELLA MARE  ; Non connu ; Plateforme STELLA MARE - UMS CNRS 3514  ; 20620 ; Biguglia ; France ; Laboratoire de l’UMS CNRS 3514 Stella Mare ; Programmation/Gestion de système embarquer pour suivi présentiel d’espèces terrestre et marine ;13/04/2015;10/05/2015; réponse à une offre de stage ; 20200 ; Bastia ; LICENCE-3-INFORMATIQUE ; Amélioration de l'autonomie des systèmes embarquer , développement de nouvelles fonctionnalités de suivi. ; Essayer de trouver une solution pour optimiser l'autonomie des système embarquer, et réfléchir sur de nouvelles fonctionnalités a ajouter au suivi présentiel des espèces terrestre et maritime ; 2014/2015 
 E K I P Méditerranée ; Entreprise privée ; 10 B AVENUE EMILE SARI BASTIA ; 20200 ; Bastia ; FRANCE ; E K I P MEDITERRANEE INFORMATIQUE ; STAGE DANS UNE ENTREPRISE DE DÉVELOPPEMENT INFORMATIQUE ;13/04/2015;08/05/2015; candidature spontané ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Développement d'une application/site ; Utilisation de différent langage informatique pour développer une application ou un site web ; 2014/2015 
 Département de la Corse du Sud ; Administration territoriale ; Hôtel du Département  ; 20183  ; Ajaccio cedex ; FRANCE ; Direction des systèmes d'informations ; Aide à la gestion du Parc Informatique ;13/04/2015;08/05/2015; réseau de connaissance ; 20000 ; AJACCIO ; LICENCE-3-INFORMATIQUE ; Automatisation, maintenance  ; L'automatisation aura pour but de faciliter la gestion du parc informatique, et la maintenance comprendra une partie Web et une partie machine  ; 2014/2015 
 Mairie de Porto-Vecchio ; Administration publique d'état ; Mairie de Porto-Vecchio ; 20537 ; Porto-Vecchio ; France ; Informatique  ; - ;13/04/2015;09/05/2015; candidature spontané ; 20169 ; Bonifacio ; LICENCE-3-INFORMATIQUE ; - ; - ; 2014/2015 
 Chambre de commerce et d'industrie de Bastia et de la haute Corse ; Administration territoriale ; CCI BASTIA HOTEL CONSULAIRE NOUVEAU PORT  ; 20293  ; BASTIA ; FRANCE  ; Programmation ; Réseau et programmation internet ;04/04/2016;29/04/2016; candidature spontané ; 20620 ; Biguglia ; LICENCE-3-INFORMATIQUE ; Maintenance et entretien du réseau de la Chambre de Commerce de Bastia,Entretien du site web de la Chambre de Commerce de Bastia,Dépannage informatique au sein de la Chambre de Commerce de Bastia. ; Maintenance et entretien du réseau de la Chambre de Commerce de Bastia,Entretien du site web de la Chambre de Commerce de Bastia,Dépannage informatique au sein de la Chambre de Commerce de Bastia. ; 2015/2016 
 PIC Informatique ; Entreprise privée ; 9, av. du Mont Thabor ; 20000 ; Ajaccio ; France ; Service Développement ; Développement d'interface de gestion de droits utilisateurs sur Microsoft Servers. ;04/04/2016;29/04/2016; réseau de connaissance ; 20167 ; Alata ; LICENCE-3-INFORMATIQUE ; Développement / Conception ; Développement d'une interface pour suivre/gérer les utilisateurs et leurs droits d'accès sur Microsoft Windows Server (doit fonctionner sur plusieurs versions) avec Apache intégré. ; 2015/2016 
 UFR Sciences et Techniques ; Non connu ; Campus Grossetti ; 20250 ; Corte ; France ; Laboratoire de recherche ; Exploration de l'enseignement informatique collège et lycée ;04/04/2016;29/04/2016; candidature spontané ; 20166 ; Pietrosella ; LICENCE-3-INFORMATIQUE ; Fonction : assistant ingénieur pédagogique de l'informatiqueTâches : Enseignement ISN, ICN, programme du CAPS maths-info, cours de mathématiques collège-lycée ; Ma tâche sera sera d'évaluer les programmes de l'option informatique du lycéen, collège et primaire.Pour cela je devrai rentré en contacte avec des personnes, enseignantes pour certaines. ; 2015/2016 
