Code commune;Zone;Niveau d'education moyen_Opp;"Population de 15 ans ou + selon la CSP 2021
Ensemble";"Population de 15 ans ou + selon la CSP 2021
Ouvriers";"Population de 15 ans ou + selon la CSP 2021
Artisans, commerçants, chefs entreprise";"Population de 15 ans ou + selon la CSP 2021
Cadres et professions intellectuelles supérieures";"Population de 15 ans ou + selon la CSP 2021
Agriculteurs exploitants";"Population de 15 ans ou + selon la CSP 2021
Professions intermédiaires";"Population de 15 ans ou + selon la CSP 2021
Autres personnes sans activité professionnelle";"Population de 15 ans ou + selon la CSP 2021
Retraités";"Population de 15 ans ou + selon la CSP 2021
Employés";Moyenne de xi;Indice de Theil;Part des ménages ayant au moins 1 voiture 2021;Accès aux réseaux de transport;Code commune;Proportion de population couverte par la 4G/100;Proportion de population avec débit > 30Mb/s /100;Proportion de population couverte par la 4G;Proportion de population avec débit > 30Mb/s;Nombre de quartier cible politique de la ville;Individus résidant et ayant un droit de vote;Population totale en âge de travailler (>16 ans);Proportion;Votants;Médiane du niveau de vie 2021;Nombre de pièces;Population municipale (historique depuis 1876) 2021;Nombre moyen de personnes par pièce;Proportion des logements ayant accès pack(eau,electricité,cuisine,..);Proportion de la population vivant dans un logement individuel;Chomeur (1);Emploi aidé (2);Contrat ponctuel (3);Contrat à durée déterminée (4);Emploi stable (5);Nombre de chomeurs 15-64 ans;Nombre d'emploi aidé >15 ans;Nombre de contrat ponctuel;Nombre de CDD;Nombre d'emploi stable;Population active > 15 ans;Nombre d'établissement vie courante
2A001;Afa;5.75;2814;290;183;218;20;473;364;741;524;351,625;0,20522792;95.4;1;2A001;0,99;0,97;99;97;0;2597;2814;92,28855721;28,99;27250;1409;3336;2,367636622;91;52;6,9;0,2;1,2;5,7;85,9;119;4;21;98;1472;1714;3
2A004;Ajaccio;5.76;61021;6276;2197;3880;82;8572;11167;16576;12271;7627,625;0,278668171;86.1;1;2A004;0,93;0,94;93;94;2;35838;61021;58,73060094;36,53;23320;31353;73822;2,354543425;91;52;8,1;0,4;1,7;5,1;84,7;2736;128;560;1718;28430;33572;110
2A006;Alata;5.77;3017;251;213;270;9;544;412;772;547;377,25;0,213225914;96.5;1;2A006;1;0,76;100;76;0;2838;3017;94,06695393;28,25;27810;1428;3587;2,511904762;91;52;6,8;0,2;2;4,1;86,9;126;3;37;76;1599;1841;4
2A008;Albitreccia;5.78;1559;103;92;126;8;227;196;600;206;194,75;0,325884791;96.1;1;2A008;0,38;0,8;38;80;0;1389;1559;89,09557409;58,8;26850;793;1775;2,238335435;91;52;11,6;0;0,6;5,8;81,9;89;0;5;45;631;770;6
2A011;Altagène;5.79;47;1;1;2;1;6;7;20;8;5,75;0,474895798;88.9;0;2A011;1;0;100;0;0;78;47;100;58,67;23 420;29;55;1,896551724;91;52;11,1;0;0;0;88,9;2;0;0;0;16;18;0
2A014;Ambiegna;5.80;70;4;1;5;2;7;17;23;12;8,875;0,333661749;90.3;0;2A014;0,57;0;57;0;0;79;70;100;69,23;23 420;30;77;2,566666667;91;52;8,8;0;0;2,9;88,2;3;0;0;1;30;34;0
2A017;Appietto;5.81;1497;125;100;110;9;255;200;419;279;187,125;0,228841579;96.4;1;2A017;1;0,68;100;68;0;1445;1497;96,52638611;30,07;26500;755;1773;2,348344371;91;52;5,9;0;1,9;3,9;88,3;52;0;17;34;774;877;0
2A018;Arbellara;5.82;137;20;8;7;2;13;24;30;33;17,125;0,21490695;93.4;1;2A018;0,9;0;90;0;0;146;137;100;48,28;22340;74;155;2,094594595;91;52;19,3;1,2;2,4;12;65,1;16;1;2;10;54;83;1
2A019;Arbori;5.83;48;5;2;2;3;1;8;24;6;6,375;0,45692956;77.8;0;2A019;0,73;0;73;0;0;91;48;100;61,46;23 420;34;52;1,529411765;91;52;11,1;0;5,6;16,7;66,7;2;0;1;3;12;18;0
2A021;Argiusta-Moriccio;5.84;72;8;1;1;4;5;13;30;12;9,25;0,416282425;81.4;0;2A021;0,99;0,71;99;71;0;112;72;100;68,42;23 420;42;76;1,80952381;91;52;13,3;0;3,3;10;73,3;4;0;1;3;22;30;1
2A022;Arro;5.85;76;7;3;4;6;7;9;32;9;9,625;0,297816698;89.2;1;2A022;0,98;0;98;0;0;86;76;100;72,41;23 420;37;79;2,135135135;91;52;10,8;0;0;2,7;86,5;4;0;0;1;32;37;0
2A024;Aullène;5.86;169;31;12;4;4;13;21;56;30;21,375;0,283378962;86.8;1;2A024;0,99;0;99;0;0;212;169;100;70,32;20160;90;184;2,044444444;91;52;16,5;0;10,3;8,2;64,9;16;0;10;8;63;97;1
2A026;Azilone-Ampaza;5.87;166;15;15;6;6;14;31;42;37;20,75;0,200761659;95.2;1;2A026;0,99;0,4;99;40;0;245;166;100;90;18910;89;198;2,224719101;91;52;11,6;0;0;4,2;84,2;11;0;0;4;80;95;0
2A027;Azzana;5.88;50;5;3;1;1;4;17;13;5;6,125;0,359955161;100;0;2A027;0,98;0;98;0;0;69;50;100;59,72;23 420;35;52;1,485714286;91;52;0;10,5;5,3;0;84,2;0;2;1;0;16;19;1
2A028;Balogna;5.89;131;20;4;2;3;7;24;45;25;16,25;0,379663436;80;0;2A028;1;0;100;0;0;189;131;100;66,5;16870;86;146;1,697674419;91;52;17,7;0;0;3,2;79;11;0;0;2;49;62;0
2A031;Bastelica;5.90;458;42;25;25;21;40;84;155;67;57,375;0,23154596;87;0;2A031;0,99;0,12;99;12;0;546;458;100;66,55;22770;268;511;1,906716418;91;52;10;0;0,9;8,6;80,5;22;0;2;19;178;221;2
2A032;Bastelicaccia;5.91;3603;342;232;264;15;594;497;945;714;450,375;0,22277411;96.1;1;2A032;0,74;0,94;74;94;0;2944;3603;81,70968637;30,03;27450;1853;4251;2,294117647;91;52;8,9;0,2;1,4;4,5;85;193;4;31;98;1850;2176;8
2A035;Belvédère-Campomoro;5.92;160;10;24;9;3;14;22;52;25;19,875;0,238564424;94.9;0;2A035;0,62;0,2;62;20;0;285;160;100;81,89;23910;84;177;2,107142857;91;52;10,2;0;2,3;9,1;78,4;9;0;2;8;69;88;1
2A038;Bilia;5.93;51;2;2;2;1;12;7;12;13;6,375;0,319426799;96.2;1;2A038;0,95;0,05;95;5;0;62;51;100;77,78;23 420;26;53;2,038461538;91;52;25,8;0;3,2;12,9;58,1;8;0;1;4;18;31;0
2A040;Bocognano;5.94;334;21;21;14;6;48;70;99;56;41,875;0,262672733;82.7;1;2A040;1;0,04;100;4;0;485;334;100;61,68;23650;186;367;1,97311828;91;52;8,5;0;0,6;6,1;84,8;14;0;1;10;140;165;4
2A041;Bonifacio;5.95;2710;272;274;104;38;219;608;652;542;338,625;0,228497787;90.2;1;2A041;0,6;0,44;60;44;0;2710;2710;100;48,88;22670;1422;3200;2,250351617;91;52;14,5;0,6;1;10,4;73,5;210;9;15;151;1066;1451;15
2A048;Calcatoggio;5.96;434;36;46;23;3;55;52;148;71;54,25;0,265940962;95.1;1;2A048;0,67;0,2;67;20;0;540;434;100;59,38;23120;237;507;2,139240506;91;52;8,2;0;0;6;85,8;19;0;0;14;200;233;4
2A056;Campo;5.97;91;7;15;3;1;15;5;34;10;11,25;0,347720897;93;0;2A056;1;0;100;0;0;126;91;100;62,12;20230;58;104;1,793103448;91;52;13,7;0;0;17,6;68,6;7;0;0;9;35;51;1
2A060;Cannelle;5.98;61;3;2;4;10;6;4;26;5;7,5;0,356873536;94.1;0;2A060;0,99;0;99;0;0;76;61;100;53,95;23 420;36;74;2,055555556;91;52;9,7;0;0;3,2;87,1;3;0;0;1;27;31;0
2A061;Carbini;5.99;104;6;6;7;1;8;14;46;14;12,75;0,412989576;96.4;0;2A061;1;0,49;100;49;0;125;104;100;81,1;23 420;58;115;1,982758621;91;52;11,6;0;2,3;4,7;81,4;5;0;1;2;35;43;0
2A062;Carbuccia;5.100;324;31;24;8;3;44;65;91;59;40,625;0,269649298;86.5;1;2A062;1;0,03;100;3;0;325;324;100;81,68;22170;179;374;2,089385475;91;52;10,6;0,6;1,8;5,9;81,2;18;1;3;10;138;170;1
2A064;Cardo-Torgia;5.101;30;1;1;1;1;3;7;14;4;4;0,470242763;100;0;2A064;0,97;0,09;97;9;0;47;30;100;63,27;23 420;15;30;2;91;52;0;0;0;0;100;0;0;0;0;10;10;0
2A065;Cargèse;5.102;1063;102;113;38;25;105;162;360;159;133;0,24353422;87.9;1;2A065;0,35;0,16;35;16;0;1004;1063;94,44967074;37,31;21490;614;1237;2,01465798;91;52;9,6;0;0,4;7,9;82,1;52;0;2;43;446;543;6
2A066;Cargiaca;5.103;58;3;1;2;1;7;10;26;7;7,125;0,486587366;100;0;2A066;0,99;0;99;0;0;66;58;100;73,13;23 420;33;61;1,848484848;91;52;18,2;0;0;9,1;72,7;4;0;0;2;16;22;0
2A070;Casaglione;5.104;411;45;23;15;12;41;64;158;53;51,375;0,300741929;93;1;2A070;0,87;0,12;87;12;0;386;411;93,91727494;51,15;22580;234;447;1,91025641;91;52;5,3;0;1,1;5,9;87,8;10;0;2;11;165;188;1
2A071;Casalabriva;5.105;195;30;15;1;9;14;35;55;36;24,375;0,258881406;87.1;1;2A071;1;0,11;100;11;0;159;195;81,53846154;49,71;23480;115;224;1,947826087;91;52;7,6;0;2,9;11,4;78,1;8;0;3;12;82;105;1
2A085;Cauro;5.106;1267;121;64;99;5;208;142;392;235;158,25;0,265283519;94.8;1;2A085;0,98;0,78;98;78;0;1129;1267;89,10812944;47,65;26380;646;1481;2,292569659;91;52;10,1;0,3;1,6;6,1;81,9;74;2;12;45;601;734;3
2A089;Ciamannacce;5.107;128;5;8;13;2;13;25;50;13;16,125;0,337265471;93;1;2A089;1;0,62;100;62;0;178;128;100;75,27;23 420;70;131;1,871428571;91;52;12,7;0;1,8;1,8;83,6;7;0;1;1;46;55;1
2A090;Coggia;5.108;688;41;39;42;13;69;75;329;80;86;0,427763042;91.8;1;2A090;0,58;0,32;58;32;0;710;688;100;77,43;24900;70;765;10,92857143;91;52;12,5;1;0,3;5,9;80,1;36;3;1;17;230;287;1
